Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
1,Nikola Jokić\jokicni01,2020-21,25,DEN,NBA,15.6,72,72,2488,31.3,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,130,109,12.2,3.4,0.301,9.2,2.5,11.7,8.6
2,James Harden\hardeja01,2017-18,28,HOU,NBA,15.4,72,72,2551,29.8,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,120,105,11.6,3.8,0.289,8.5,1.4,9.9,7.7
3,James Harden\hardeja01,2018-19,29,HOU,NBA,15.2,78,78,2867,30.6,0.539,0.449,2.5,17.8,10,39.5,2.7,1.7,14.5,40.5,118,108,11.4,3.8,0.254,9.4,1.6,11,9.3
4,Giannis Antetokounmpo\antetgi01,2018-19,24,MIL,NBA,14.4,72,72,2358,30.9,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,121,99,8.9,5.5,0.292,6.3,4.1,10.4,7.4
5,Rudy Gobert\goberru01,2018-19,26,UTA,NBA,14.4,81,80,2577,24.6,0,0.733,13.2,30.2,21.9,9.6,1.2,5.8,12.1,17.8,133,100,8.7,5.7,0.268,3,2.5,5.4,4.8
6,LeBron James\jamesle01,2017-18,33,CLE,NBA,14,82,82,3026,28.6,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2,16.1,31.6,118,109,11,3,0.221,7.3,1.4,8.7,8.2
7,Karl-Anthony Towns\townska01,2017-18,22,MIN,NBA,14,82,82,2918,24.9,0.243,0.343,9.3,30.9,20,10.8,1.1,3.5,10.5,22.9,127,107,10.6,3.4,0.23,4.9,0.2,5.1,5.2
8,Anthony Davis\davisan02,2017-18,24,NOP,NBA,13.7,75,75,2727,28.9,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,119,102,8.8,4.9,0.241,5.3,1.4,6.7,5.9
9,James Harden\hardeja01,2019-20,30,HOU,NBA,13.1,68,68,2483,29.1,0.557,0.528,2.9,16,9.4,35.9,2.3,2.1,14.2,36.3,120,108,9.9,3.2,0.254,8.1,1.6,9.6,7.3
10,Damian Lillard\lillada01,2017-18,27,POR,NBA,12.6,73,73,2670,25.2,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,120,109,9.9,2.7,0.227,7,0.3,7.2,6.3
