Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
1,Rudy Gobert\goberru01,2021-22,29,UTA,NBA,5.7,30,30,956,25.4,0.004,0.888,11.6,37.9,25.4,4.8,1.2,5.9,15.2,16.6,137,99,3.5,2.2,0.287,3.2,2.4,5.6,1.8
2,Nikola Jokić\jokicni01,2021-22,26,DEN,NBA,5.1,25,25,808,33.8,0.254,0.298,7.9,37.3,22.7,43.3,2,2.2,14.9,31.6,124,103,3.7,1.4,0.305,9.6,4.8,14.3,3.3
3,Jarrett Allen\allenja01,2021-22,23,CLE,NBA,5,28,28,913,24.2,0.022,0.445,11.2,24.3,18,9.9,1.3,3.7,14.5,18.2,132,101,3.1,1.8,0.26,3.1,2,5.1,1.6
4,Giannis Antetokounmpo\antetgi01,2021-22,27,MIL,NBA,4.7,26,26,849,30.5,0.213,0.561,6.6,30.3,18.6,32.6,1.7,4.8,12.8,33.9,118,102,3.1,1.6,0.267,6.6,3.5,10.1,2.6
5,Kevin Durant\duranke01,2021-22,33,BRK,NBA,4.6,27,27,1000,26,0.236,0.347,1.5,20.3,11.3,28.7,0.8,2,12,31.7,118,107,3.3,1.3,0.221,6.3,0.9,7.2,2.3
6,Chris Paul\paulch01,2021-22,36,PHO,NBA,4.5,30,30,959,21.1,0.26,0.306,0.8,11.7,6.5,44,2.9,0.8,15.9,19.9,122,102,2.7,1.8,0.225,2.7,2.6,5.3,1.8
7,Stephen Curry\curryst01,2021-22,33,GSW,NBA,4.4,29,29,998,23.4,0.654,0.213,2.3,14.4,8.6,29.7,2.2,1.5,13.2,32.5,114,102,2.5,1.9,0.214,6.9,1,7.9,2.5
8,Domantas Sabonis\sabondo01,2021-22,25,IND,NBA,4.4,32,31,1085,22.4,0.203,0.398,10.5,27,18.8,19.4,1.6,0.9,17.6,21.7,121,107,3.1,1.3,0.195,3.1,0.9,4,1.6
9,Karl-Anthony Towns\townska01,2021-22,26,MIN,NBA,4.1,30,30,1034,23.6,0.333,0.343,8.3,20.3,14,18.6,1.5,3.3,15.2,27.9,117,107,2.8,1.3,0.191,4.8,0.5,5.3,1.9
10,John Collins\collijo01,2021-22,24,ATL,NBA,4,30,30,980,21.4,0.269,0.322,6.3,20.1,13.3,9.9,1.1,3.4,7.7,19.6,130,111,3.2,0.8,0.198,2.9,0.2,3.1,1.3
