Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Rudy Gobert\goberru01,2021-22,29,UTA,NBA,5.7,30,30,956,162,224,162,223,0,1,138,199,97,353,450,32,23,67,56,77,462,0.723,0.726,0,0.723,0.693,0.741
2,Nikola Jokić\jokicni01,2021-22,26,DEN,NBA,5.1,25,25,808,253,429,212,320,41,109,97,128,57,273,330,182,32,19,85,63,644,0.59,0.663,0.376,0.638,0.758,0.663
3,Jarrett Allen\allenja01,2021-22,23,CLE,NBA,5,28,28,913,191,272,190,266,1,6,87,121,91,211,302,55,25,38,55,52,470,0.702,0.714,0.167,0.704,0.719,0.723
4,Giannis Antetokounmpo\antetgi01,2021-22,27,MIL,NBA,4.7,26,26,849,248,469,220,369,28,100,179,263,53,248,301,151,29,41,86,79,703,0.529,0.596,0.28,0.559,0.681,0.601
5,Kevin Durant\duranke01,2021-22,33,BRK,NBA,4.6,27,27,1000,291,556,241,425,50,131,171,193,14,199,213,158,17,23,87,48,803,0.523,0.567,0.382,0.568,0.886,0.626
6,Chris Paul\paulch01,2021-22,36,PHO,NBA,4.5,30,30,959,160,327,132,242,28,85,82,100,7,111,118,301,59,9,70,64,430,0.489,0.545,0.329,0.532,0.82,0.58
7,Stephen Curry\curryst01,2021-22,33,GSW,NBA,4.4,29,29,998,257,595,103,206,154,389,117,127,20,137,157,174,45,15,99,57,785,0.432,0.5,0.396,0.561,0.921,0.603
8,Domantas Sabonis\sabondo01,2021-22,25,IND,NBA,4.4,32,31,1085,221,379,199,302,22,77,115,151,102,269,371,133,34,11,95,101,579,0.583,0.659,0.286,0.612,0.762,0.65
9,Karl-Anthony Towns\townska01,2021-22,26,MIN,NBA,4.1,30,30,1034,259,508,187,339,72,169,144,174,85,189,274,107,31,34,105,111,734,0.51,0.552,0.426,0.581,0.828,0.628
10,John Collins\collijo01,2021-22,24,ATL,NBA,4,30,30,980,198,357,159,261,39,96,92,115,56,185,241,63,22,37,34,90,527,0.555,0.609,0.406,0.609,0.8,0.646
11,Montrezl Harrell\harremo01,2021-22,28,WAS,NBA,4,31,3,799,170,265,167,256,3,9,105,144,69,165,234,68,16,20,38,60,448,0.642,0.652,0.333,0.647,0.729,0.682
12,DeMar DeRozan\derozde01,2021-22,32,CHI,NBA,3.8,26,26,913,249,498,229,438,20,60,179,200,16,118,134,110,23,9,52,58,697,0.5,0.523,0.333,0.52,0.895,0.595
13,Trae Young\youngtr01,2021-22,23,ATL,NBA,3.6,29,29,990,275,598,197,391,78,207,163,183,24,93,117,269,30,3,118,49,791,0.46,0.504,0.377,0.525,0.891,0.583
14,Ivica Zubac\zubaciv01,2021-22,24,LAC,NBA,3.6,32,32,796,115,172,115,172,0,0,79,106,79,175,254,36,18,37,42,76,309,0.669,0.669,,0.669,0.745,0.707
15,Jimmy Butler\butleji01,2021-22,32,MIA,NBA,3.5,18,18,607,139,273,133,242,6,31,127,149,29,75,104,94,39,5,35,29,411,0.509,0.55,0.194,0.52,0.852,0.607
16,Clint Capela\capelca01,2021-22,27,ATL,NBA,3.5,29,29,864,149,259,149,258,0,1,35,71,115,256,371,40,26,45,18,68,333,0.575,0.578,0,0.575,0.493,0.574
17,Donovan Mitchell\mitchdo01,2021-22,25,UTA,NBA,3.5,29,29,944,269,589,176,316,93,273,95,110,25,85,110,146,47,6,87,68,726,0.457,0.557,0.341,0.536,0.864,0.57
18,Anthony Davis\davisan02,2021-22,28,LAL,NBA,3.4,27,27,955,251,482,241,426,10,56,117,161,74,193,267,77,32,55,60,63,629,0.521,0.566,0.179,0.531,0.727,0.569
19,Jonas Valančiūnas\valanjo01,2021-22,29,NOP,NBA,3.4,32,32,1011,232,441,199,368,33,73,99,121,114,271,385,77,19,31,73,101,596,0.526,0.541,0.452,0.563,0.818,0.603
20,Mikal Bridges\bridgmi01,2021-22,25,PHO,NBA,3.2,30,30,1028,147,285,108,184,39,101,37,43,28,91,119,56,41,16,22,62,370,0.516,0.587,0.386,0.584,0.86,0.609
21,Mike Conley\conlemi01,2021-22,34,UTA,NBA,3.2,27,27,757,134,281,65,125,69,156,34,41,11,53,64,146,30,8,45,52,371,0.477,0.52,0.442,0.6,0.829,0.62
22,Bojan Bogdanović\bogdabo02,2021-22,32,UTA,NBA,3.1,30,30,893,174,367,95,181,79,186,88,99,24,87,111,49,14,1,43,48,515,0.474,0.525,0.425,0.582,0.889,0.627
23,Pat Connaughton\connapa01,2021-22,29,MIL,NBA,3.1,33,13,960,142,296,56,84,86,212,26,33,28,127,155,45,37,11,25,45,396,0.48,0.667,0.406,0.625,0.788,0.638
24,Draymond Green\greendr01,2021-22,31,GSW,NBA,3.1,29,29,882,98,177,89,146,9,31,40,67,34,199,233,214,39,30,90,82,245,0.554,0.61,0.29,0.579,0.597,0.593
25,Mitchell Robinson\robinmi01,2021-22,23,NYK,NBA,3.1,28,20,677,84,110,84,110,0,0,36,58,91,128,219,15,14,48,15,76,204,0.764,0.764,,0.764,0.621,0.753
26,Myles Turner\turnemy01,2021-22,25,IND,NBA,3.1,31,31,909,144,278,91,134,53,144,56,75,46,184,230,31,18,89,40,79,397,0.518,0.679,0.368,0.613,0.747,0.638
27,Fred VanVleet\vanvlfr01,2021-22,27,TOR,NBA,3,28,28,1060,197,454,102,215,95,239,73,84,21,121,142,187,45,16,85,70,562,0.434,0.474,0.397,0.539,0.869,0.572
