Player,Salary,Season
Zylan Cheatham,"$79,568 ",2019-20
Zylan Cheatham,"$1,445,697 ",2020-21
Zion Williamson,"$9,757,440 ",2019-20
Zion Williamson,"$10,245,480 ",2020-21
Zhou Qi,"$815,615 ",2017-18
Zhou Qi,"$1,378,242 ",2018-19
Zhaire Smith,"$2,615,160 ",2018-19
Zhaire Smith,"$3,058,800 ",2019-20
Zhaire Smith,"$1,068,200 ",2020-21
Zeke Nnaji,"$2,379,840 ",2020-21
Zaza Pachulia,"$3,477,600 ",2017-18
Zaza Pachulia,"$2,393,887 ",2018-19
Zach Randolph,"$12,307,692 ",2017-18
Zach Randolph,"$11,692,308 ",2018-19
Zach Lofton,"$77,250 ",2018-19
Zach LaVine,"$3,202,217 ",2017-18
Zach LaVine,"$19,500,000 ",2018-19
Zach LaVine,"$19,500,000 ",2019-20
Zach LaVine,"$19,500,000 ",2020-21
Zach Collins,"$3,057,240 ",2017-18
Zach Collins,"$3,628,920 ",2018-19
Zach Collins,"$4,240,200 ",2019-20
Zach Collins,"$5,406,255 ",2020-21
Yuta Watanabe,"$77,250 ",2018-19
Yuta Watanabe,"$79,568 ",2019-20
Yuta Watanabe,"$737,996 ",2020-21
Yogi Ferrell,"$1,312,611 ",2017-18
Yogi Ferrell,"$3,000,000 ",2018-19
Yogi Ferrell,"$3,150,000 ",2019-20
Yogi Ferrell,"$444,149 ",2020-21
Yante Maten,"$385,000 ",2018-19
Yakuba Ouattara,"$77,250 ",2017-18
Xavier Tillman,"$1,300,000 ",2020-21
Xavier Silas,"$74,158 ",2017-18
Xavier Munford,"$77,250 ",2017-18
Wilson Chandler,"$12,016,854 ",2017-18
Wilson Chandler,"$12,800,562 ",2018-19
Wilson Chandler,"$2,564,753 ",2019-20
Willy Hernangómez,"$1,435,750 ",2017-18
Willy Hernangómez,"$1,496,500 ",2018-19
Willy Hernangómez,"$1,676,735 ",2019-20
Willy Hernangómez,"$1,737,145 ",2020-21
Willie Reed,"$1,471,382 ",2017-18
Willie Cauley-Stein,"$3,704,160 ",2017-18
Willie Cauley-Stein,"$4,696,874 ",2018-19
Willie Cauley-Stein,"$2,177,483 ",2019-20
Willie Cauley-Stein,"$4,100,000 ",2020-21
William Howard,"$79,568 ",2019-20
Will Magnay,"$341,481 ",2020-21
Will Barton,"$3,533,333 ",2017-18
Will Barton,"$11,830,358 ",2018-19
Will Barton,"$12,776,786 ",2019-20
Will Barton,"$13,723,214 ",2020-21
Wesley Matthews,"$17,884,175 ",2017-18
Wesley Matthews,"$19,360,228 ",2018-19
Wesley Matthews,"$2,564,753 ",2019-20
Wesley Matthews,"$3,623,000 ",2020-21
Wesley Johnson,"$5,881,260 ",2017-18
Wesley Johnson,"$6,134,000 ",2018-19
Wesley Iwundu,"$1,050,000 ",2017-18
Wesley Iwundu,"$1,378,242 ",2018-19
Wesley Iwundu,"$1,618,520 ",2019-20
Wesley Iwundu,"$1,678,854 ",2020-21
Wenyen Gabriel,"$75,000 ",2018-19
Wenyen Gabriel,"$1,445,697 ",2019-20
Wenyen Gabriel,"$1,620,564 ",2020-21
Wendell Carter,"$4,446,840 ",2018-19
Wendell Carter,"$5,201,400 ",2019-20
Wendell Carter,"$5,448,840 ",2020-21
Wayne Selden,"$1,312,611 ",2017-18
Wayne Selden,"$1,544,951 ",2018-19
Wayne Ellington,"$6,270,000 ",2017-18
Wayne Ellington,"$8,653,076 ",2018-19
Wayne Ellington,"$8,000,000 ",2019-20
Wayne Ellington,"$3,564,753 ",2020-21
Walter Lemon Jr,"$92,159 ",2017-18
Walter Lemon Jr,"$176,250 ",2018-19
Wade Baldwin,"$2,254,292 ",2017-18
Wade Baldwin,"$1,544,951 ",2018-19
Vlatko Cancar,"$898,310 ",2019-20
Vlatko Cancar,"$1,517,981 ",2020-21
VJ Beachem,"$50,000 ",2017-18
Vincent Poirier,"$2,505,793 ",2019-20
Vincent Poirier,"$2,619,207 ",2020-21
Vincent Edwards,"$77,250 ",2018-19
Vince Hunter,"$77,250 ",2017-18
Vince Carter,"$8,000,000 ",2017-18
Vince Carter,"$2,393,887 ",2018-19
Vince Carter,"$2,564,753 ",2019-20
Victor Oladipo,"$21,000,000 ",2017-18
Victor Oladipo,"$21,000,000 ",2018-19
Victor Oladipo,"$21,000,000 ",2019-20
Victor Oladipo,"$21,000,000 ",2020-21
Vic Law,"$79,568 ",2019-20
Vernon Carey,"$1,350,000 ",2020-21
Vander Blue,"$77,250 ",2017-18
Udonis Haslem,"$2,328,652 ",2017-18
Udonis Haslem,"$2,393,887 ",2018-19
Udonis Haslem,"$2,564,753 ",2019-20
Udonis Haslem,"$2,564,753 ",2020-21
Udoka Azubuike,"$1,977,000 ",2020-21
Tyus Jones,"$1,471,382 ",2017-18
Tyus Jones,"$2,444,052 ",2018-19
Tyus Jones,"$10,116,000 ",2019-20
Tyus Jones,"$8,817,143 ",2020-21
Tyson Chandler,"$13,000,000 ",2017-18
Tyson Chandler,"$13,585,000 ",2018-19
Tyson Chandler,"$2,564,753 ",2019-20
Ty-Shon Alexander,"$449,115 ",2020-21
Tyrone Wallace,"$77,250 ",2017-18
Tyrone Wallace,"$1,349,383 ",2018-19
Tyrese Maxey,"$2,478,840 ",2020-21
Tyrese Haliburton,"$3,831,840 ",2020-21
Tyrell Terry,"$1,289,846 ",2020-21
Tyreke Evans,"$3,290,000 ",2017-18
Tyreke Evans,"$12,400,000 ",2018-19
Tyler Zeller,"$1,709,538 ",2017-18
Tyler Zeller,"$213,948 ",2018-19
Tyler Zeller,"$245,686 ",2019-20
Tyler Ulis,"$1,312,611 ",2017-18
Tyler Ulis,"$77,250 ",2018-19
Tyler Lydon,"$1,579,440 ",2017-18
Tyler Lydon,"$1,874,640 ",2018-19
Tyler Johnson,"$5,821,260 ",2017-18
Tyler Johnson,"$19,245,370 ",2018-19
Tyler Johnson,"$183,115 ",2019-20
Tyler Johnson,"$2,028,594 ",2020-21
Tyler Herro,"$3,640,200 ",2019-20
Tyler Herro,"$3,822,240 ",2020-21
Tyler Hall,"$25,000 ",2020-21
Tyler Ennis,"$1,524,305 ",2017-18
Tyler Dorsey,"$815,615 ",2017-18
Tyler Dorsey,"$1,378,242 ",2018-19
Tyler Davis,"$77,250 ",2018-19
Tyler Cook,"$79,568 ",2019-20
Tyler Cook,"$693,141 ",2020-21
Tyler Cavanaugh,"$77,250 ",2017-18
Tyler Cavanaugh,"$77,250 ",2018-19
Tyler Bey,"$449,115 ",2020-21
Ty Lawson,"$119,009 ",2017-18
Ty Jerome,"$2,193,480 ",2019-20
Ty Jerome,"$2,303,040 ",2020-21
Troy Williams,"$1,842,176 ",2017-18
Troy Williams,"$77,250 ",2018-19
Troy Williams,"$122,741 ",2020-21
Troy Daniels,"$3,408,520 ",2017-18
Troy Daniels,"$3,258,539 ",2018-19
Troy Daniels,"$458,439 ",2019-20
Troy Caupain,"$77,250 ",2018-19
Troy Brown,"$2,752,680 ",2018-19
Troy Brown,"$3,219,480 ",2019-20
Troy Brown,"$3,372,840 ",2020-21
Tristan Thompson,"$16,400,000 ",2017-18
Tristan Thompson,"$17,469,565 ",2018-19
Tristan Thompson,"$18,539,130 ",2019-20
Tristan Thompson,"$9,258,000 ",2020-21
Trey McKinney-Jones,"$46,079 ",2017-18
Trey Lyles,"$2,441,400 ",2017-18
