Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Nikola Jokić\jokicni01,2020-21,25,DEN,NBA,15.6,72,72,2488,732,1293,640,1056,92,237,342,394,205,575,780,599,95,48,222,192,1898,0.566,0.606,0.388,0.602,0.868,0.647
2,James Harden\hardeja01,2017-18,28,HOU,NBA,15.4,72,72,2551,651,1449,386,727,265,722,624,727,41,348,389,630,126,50,315,169,2191,0.449,0.531,0.367,0.541,0.858,0.619
3,James Harden\hardeja01,2018-19,29,HOU,NBA,15.2,78,78,2867,843,1909,465,881,378,1028,754,858,66,452,518,586,158,58,387,244,2818,0.442,0.528,0.368,0.541,0.879,0.616
4,Giannis Antetokounmpo\antetgi01,2018-19,24,MIL,NBA,14.4,72,72,2358,721,1247,669,1044,52,203,500,686,159,739,898,424,92,110,268,232,1994,0.578,0.641,0.256,0.599,0.729,0.644
5,Rudy Gobert\goberru01,2018-19,26,UTA,NBA,14.4,81,80,2577,476,712,476,712,0,0,332,522,309,732,1041,161,66,187,130,231,1284,0.669,0.669,,0.669,0.636,0.682
6,LeBron James\jamesle01,2017-18,33,CLE,NBA,14,82,82,3026,857,1580,708,1174,149,406,388,531,97,612,709,747,116,71,347,136,2251,0.542,0.603,0.367,0.59,0.731,0.621
7,Karl-Anthony Towns\townska01,2017-18,22,MIN,NBA,14,82,82,2918,639,1172,519,887,120,285,345,402,238,774,1012,199,64,115,159,285,1743,0.545,0.585,0.421,0.596,0.858,0.646
8,Anthony Davis\davisan02,2017-18,24,NOP,NBA,13.7,75,75,2727,780,1462,725,1300,55,162,495,598,187,645,832,174,115,193,162,159,2110,0.534,0.558,0.34,0.552,0.828,0.612
9,James Harden\hardeja01,2019-20,30,HOU,NBA,13.1,68,68,2483,672,1514,373,671,299,843,692,800,70,376,446,512,125,60,308,227,2335,0.444,0.556,0.355,0.543,0.865,0.626
10,Damian Lillard\lillada01,2017-18,27,POR,NBA,12.6,73,73,2670,621,1415,394,786,227,629,493,538,62,263,325,481,77,27,206,117,1962,0.439,0.501,0.361,0.519,0.916,0.594
11,Damian Lillard\lillada01,2018-19,28,POR,NBA,12.1,80,80,2838,681,1533,444,890,237,643,468,513,68,303,371,551,88,34,212,148,2067,0.444,0.499,0.369,0.522,0.912,0.588
12,Giannis Antetokounmpo\antetgi01,2017-18,23,MIL,NBA,11.9,75,75,2756,742,1402,699,1262,43,140,487,641,156,597,753,361,109,106,223,231,2014,0.529,0.554,0.307,0.545,0.76,0.598
13,Paul George\georgpa01,2018-19,28,OKC,NBA,11.9,77,77,2841,707,1614,415,857,292,757,453,540,105,523,628,318,170,34,205,214,2159,0.438,0.484,0.386,0.529,0.839,0.583
14,Nikola Jokić\jokicni01,2018-19,23,DEN,NBA,11.8,80,80,2504,616,1206,533,936,83,270,289,352,228,637,865,580,108,55,248,228,1604,0.511,0.569,0.307,0.545,0.821,0.589
15,Damian Lillard\lillada01,2019-20,29,POR,NBA,11.6,66,66,2474,624,1349,354,675,270,674,460,518,33,251,284,530,70,22,194,114,1978,0.463,0.524,0.401,0.563,0.888,0.627
16,Kevin Durant\duranke01,2018-19,30,GSW,NBA,11.5,78,78,2702,721,1383,584,995,137,388,448,506,33,464,497,457,58,84,225,155,2027,0.521,0.587,0.353,0.571,0.885,0.631
